ID, tdc_ch, z_pos, theta, FPL, NAME, toff, Id, qped, tdc_geo, layer, adc_ch, side, y_pos, x_pos, adc_geo, tcal, qcal,Radius
1,0,-8.59,-136.64,13, NaI1,-368.7,1,76,6,1,0, right,-20.74,-6.08,2,0.0977,0.0240973,21.6128202695
2,1,-8.59,-135.51,13, NaI2,-370.9,2,95.4,6,1,1, right,-18.19,-10.5,2,0.0977,0.0228971,21.0030021664
3,2,-8.59,-136.64,13, NaI3,-371.8,3,90.3,6,1,2, right,-15.64,-14.92,2,0.0977,0.0229563,21.6151798512
4,3,-8.59,-136.64,13, NaI4,-372.9,4,89.6,6,1,3, right,-5.1,-21,2,0.0977,0.0248226,21.6104141561
5,4,-8.59,-135.51,13, NaI5,-373.5,5,70.6,6,1,4, right,0,-21,2,0.0977,0.0254159,21
6,5,-8.59,-136.64,13, NaI6,-370.9,6,76,6,1,5, right,5.1,-21,2,0.0977,0.026284,21.6104141561
7,6,-8.59,-136.64,13, NaI7,-367.4,7,87.8,6,1,6, right,15.64,-14.92,2,0.0977,0.025119,21.6151798512
8,7,-8.59,-135.51,13, NaI8,-373.2,8,87.5,6,1,7, right,18.19,-10.5,2,0.0977,0.0262804,21.0030021664
9,8,-8.59,-136.64,13, NaI9,-373.3,9,124,6,1,9, right,20.74,-6.08,2,0.0977,0.026056,21.6128202695
10,16,-8.59,-136.64,13, NaI10,-366.4,10,84.2,6,1,16, left,20.74,6.08,2,0.0977,0.0272903,21.6128202695
11,17,-8.59,-135.51,13, NaI11,-370.7,11,75.3,6,1,17, left,18.19,10.5,2,0.0977,0.0277992,21.0030021664
12,18,-8.59,-136.64,13, NaI12,-372.9,12,88.5,6,1,18, left,15.64,14.92,2,0.0977,0.0238324,21.6151798512
13,19,-8.59,-136.64,13, NaI13,-367,13,82,6,1,19, left,5.1,21,2,0.0977,0.0278041,21.6104141561
14,20,-8.59,-135.51,13, NaI14,-371.9,14,77.1,6,1,20, left,0,21,2,0.0977,0.0263163,21
15,21,-8.59,-136.64,13, NaI15,-373.5,15,70.6,6,1,21, left,-5.1,21,2,0.0977,0.026466,21.6104141561
16,22,-8.59,-136.64,13, NaI16,-371.3,16,82.4,6,1,22, left,-15.64,14.92,2,0.0977,0.0266763,21.6151798512
17,23,-8.59,-135.51,13, NaI17,-372.8,17,83.9,6,1,23, left,-18.19,10.5,2,0.0977,0.0235722,21.0030021664
18,24,-8.59,-136.64,13, NaI18,-372.4,18,79.2,6,1,24, left,-20.74,6.08,2,0.0977,0.0250854,21.6128202695
19,32,8.59,136.64,13, NaI19,-371.6,19,92.8,6,2,0, right,-20.74,-6.08,1,0.0977,0.0257273,21.6128202695
20,33,8.59,135.51,13, NaI20,-373.4,20,78.9,6,2,1, right,-18.19,-10.5,1,0.0977,0.0257242,21.0030021664
21,34,8.59,136.64,13, NaI21,-372.9,21,85.3,6,2,2, right,-15.64,-14.92,1,0.0977,0.0244006,21.6151798512
22,35,8.59,136.64,13, NaI22,-370.9,22,85,6,2,3, right,-5.1,-21,1,0.0977,0.0267927,21.6104141561
23,36,8.59,135.51,13, NaI23,-372.6,23,72.4,6,2,4, right,0,-21,1,0.0977,0.0273185,21
24,37,8.59,136.64,13, NaI24,-371.7,24,81.4,6,2,5, right,5.1,-21,1,0.0977,0.0257966,21.6104141561
25,38,8.59,136.64,13, NaI25,-370.9,25,81,6,2,6, right,15.64,-14.92,1,0.0977,0.0269576,21.6151798512
26,39,8.59,135.51,13, NaI26,-372.3,26,76,6,2,7, right,18.19,-10.5,1,0.0977,0.0293602,21.0030021664
27,40,8.59,136.64,13, NaI27,-368.5,27,76.4,6,2,9, right,20.74,-6.08,1,0.0977,0.0265386,21.6128202695
28,48,8.59,136.64,13, NaI28,-369.8,28,99.3,6,2,16, left,20.74,6.08,1,0.0977,0.0273452,21.6128202695
29,49,8.59,135.51,13, NaI29,-371.8,29,79.6,6,2,17, left,18.19,10.5,1,0.0977,0.0263268,21.0030021664
30,50,8.59,136.64,13, NaI30,-371.4,30,93.6,6,2,18, left,15.64,14.92,1,0.0977,0.0281226,21.6151798512
31,51,8.59,136.64,13, NaI31,-367.5,31,83.9,6,2,19, left,5.1,21,1,0.0977,0.0244125,21.6104141561
32,52,8.59,135.51,13, NaI32,-374.4,32,88.5,6,2,20, left,0,21,1,0.0977,0.0241668,21
33,53,8.59,136.64,13, NaI33,-374.1,33,76.4,6,2,21, left,-5.1,21,1,0.0977,0.0261951,21.6104141561
34,54,8.59,136.64,13, NaI34,-375.1,34,103.6,6,2,22, left,-15.64,14.92,1,0.0977,0.0248425,21.6151798512
35,55,8.59,135.51,13, NaI35,-374.5,35,71.7,6,2,23, left,-18.19,10.5,1,0.0977,0.0253684,21.0030021664
36,56,8.59,136.64,13, NaI36,-375.2,36,71.7,6,2,24, left,-20.74,6.08,1,0.0977,0.0262348,21.6128202695
